chgis_sys_id	dila_pl_id	match_method	delta_lat	delta_lon	name
40246	PL000000018882	name-only			武寧縣
40257	PL000000017968	name-only			晉江縣
40264	PL000000017562	name-only			馬巷廳
40274	PL000000018032	name-only			綏安縣
40297	PL000000017602	name-only			莆田縣
40298	PL000000017602	name-only			莆田縣
40299	PL000000003830	name-only			清源縣
40301	PL000000058639	name-only			興化縣
40302	PL000000058639	name-only			興化縣
40303	PL000000029975	name-only			南平縣
40308	PL000000029975	name-only			南平縣
40314	PL000000017705	name-only			沙村縣
40329	PL000000018032	name-only			綏安縣
40333	PL000000018092	name-only			蘭水縣
40344	PL000000042849	name-only			天興縣
40345	PL000000042845	name-only			天興
40356	PL000000059214	name-only			嘉義縣
40357	PL000000058933	name-only			彰化縣
40358	PL000000051530	name-only			淡水廳
40359	PL000000051530	name-only			淡水廳
40360	PL000000058831	name-only			新竹縣
40361	PL000000054811	name-only			澎湖廳
40362	PL000000051146	name-only			噶瑪蘭廳
40367	PL000000052724	name-only			雲林縣
40368	PL000000052724	name-only			雲林縣
40369	PL000000059045	name-only			苗栗縣
40374	PL000000051443	name-only			南雅廳
40136	PL000000013116	name-only			長城縣
40137	PL000000013116	name-only			長城縣
40139	PL000000013116	name-only			長城縣
40156	PL000000013084	name-only			武原縣
40162	PL000000009492	name-only			義鄉縣
40066	PL000000012816	name-only			海鹽縣
40067	PL000000012816	name-only			海鹽縣
